id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source,protein_per_calorie,fat_per_calorie,carb_per_calorie,protein_fat_ratio,macro_balance_score,alasan_pemilihan
302,dish,nasi,180.0,3.0,0.3,39.8,tkpi,0.016666666574074073,0.0016666666574074074,0.22111110988271604,9.999966666777778,0.5819528845776862,Makanan pokok utama masyarakat Indonesia; baseline visual paling penting.
303,dish,nasi beras merah,149.0,2.8,0.4,32.5,tkpi,0.018791946182604387,0.002684563740372056,0.2181208039052295,6.99998250004375,0.5910556007723737,Alternatif sehat nasi putih; warna coklat-merah membedakannya secara visual.
340,dish,tahu goreng,115.0,9.7,8.5,2.5,tkpi,0.08434782535349716,0.07391304283553876,0.021739130245746693,1.1411763363321958,0.8478452584732017,Tahu goreng adalah lauk paling umum di Indonesia; tahu kuning bersegi goreng mudah dikenali.
403,dish,mie ayam,102.0,6.2,3.9,10.5,tkpi,0.06078431312956556,0.038235293742791235,0.10294117546136103,1.5897431821171328,0.8672152864794263,Mie ayam adalah hidangan mie paling populer di Indonesia; topping ayam cincang khas.
407,dish,nasi rames,155.0,10.3,4.2,19.1,tkpi,0.06645161247450573,0.027096774018730493,0.12322580565660772,2.4523803684808647,0.8179732448046335,Sajian nasi campur harian yang sangat umum di warung makan Indonesia.
413,dish,sop daging sapi masakan,49.0,5.8,0.5,5.3,tkpi,0.11836734452311543,0.010204081424406502,0.10816326309870891,11.599976800046399,0.7940234375004893,Sop daging sapi populer; kuah bening dengan potongan daging dan sayuran khas.
625,dish,kerupuk udang goreng,477.0,4.7,20.5,68.5,tkpi,0.009853249455234279,0.042976939113255896,0.14360586971990383,0.22926828149910822,0.7104644209562202,Kerupuk udang adalah pelengkap makan paling ikonik Indonesia; bentuk mengembang khas.
691,dish,pempek kapal selam,152.0,4.5,2.3,28.2,tkpi,0.02960526296312327,0.01513157884781856,0.18552631456890584,1.956520888469179,0.6649919620553436,Pempek Palembang sangat terkenal; pempek kapal selam berisi telur oval besar sangat khas.
829,komponen,alpukat segar,85.0,0.9,6.5,7.7,tkpi,0.010588235169550176,0.07647058733564015,0.09058823422837373,0.1384615171597666,0.8037429512503942,Alpukat populer di Indonesia; daging hijau-kuning lembut dengan biji besar khas.
919,komponen,jeruk manis segar,45.0,0.9,0.2,11.2,tkpi,0.019999999555555568,0.0044444443456790154,0.2488888833580248,4.499977500112499,0.5911719547405072,Jeruk adalah buah paling umum; warna oranye bulat sangat mudah dikenali.
1004,komponen,pepaya segar,46.0,0.5,12.0,12.2,tkpi,0.010869564981096414,0.2608695595463139,0.2652173855387525,0.04166666319444474,0.7785869642908859,Pepaya adalah buah tropis paling umum; daging oranye cerah dengan biji hitam sangat khas.
1012,komponen,rambutan segar,69.0,0.9,0.1,18.1,tkpi,0.013043478071833653,0.0014492753413148502,0.2623188367779879,8.999910000899991,0.5652803496840414,Rambutan buah tropis ikonik; kulit merah berduri rambut panjang sangat mudah dikenali.
1013,dish,roti putih,248.0,8.0,1.2,50.0,tkpi,0.03225806438605619,0.004838709657908428,0.2016129024128512,6.666661111115741,0.6354550395859264,"Roti putih sangat umum dikonsumsi sebagai sarapan atau camilan; bentuk, warna, dan teksturnya khas"
1015,komponen,salak segar,77.0,0.4,0.0,20.9,tkpi,0.005194805127340193,0.0,0.2714285679035251,400000.00000000006,0.5418103345240557,Salak adalah buah asli Indonesia; kulit bersisik coklat dan daging putih sangat distinktif.
1286,dish,bihun goreng,154.0,3.0,4.5,25.5,kaggle,0.0194805193540226,0.029220779031033903,0.16558441450919212,0.6666665185185514,0.6887479002397858,Bihun (mie beras tipis) goreng sangat populer; berbeda secara visual dari mie telur.
1484,komponen,durian,134.0,2.5,3.0,28.0,kaggle,0.01865671627868122,0.022388059534417467,0.20895522232122968,0.8333330555556481,0.6446353944591329,"Durian buah paling ikonik Indonesia; kulit berduri tajam sangat khas, tidak mungkin tertukar."
1566,dish,ikan asin teri goreng,430.0,33.4,32.4,0.0,kaggle,0.07767441842401297,0.07534883703407247,0.0,1.0308641657140691,0.7642160949024603,Ikan asin teri goreng sangat umum sebagai lauk; ukuran kecil dan tekstur krispi khas.
1622,dish,ikan mas goreng,188.0,19.3,12.2,0.0,kaggle,0.10265957392202354,0.06489361667609778,0.0,1.5819670834453212,0.7469726423775812,Ikan mas goreng populer; bentuk ikan utuh goreng kering sangat mudah dikenali.
1825,dish,kangkung tumis,52.0,1.8,3.6,3.0,kaggle,0.034615383949704155,0.06923076789940831,0.05769230658284026,0.4999998611111497,0.9109129193625252,Tumis kangkung adalah sayuran paling populer di Indonesia; warna hijau gelap mengkilap khas.
1861,komponen,kentang,83.0,2.0,0.1,19.1,kaggle,0.02409638525185078,0.001204819262592539,0.23012047915517497,19.99980000199998,0.5969748212242001,Kentang sangat umum; tampilan bulat agak transparan dengan kulit tipis khas.
2012,komponen,mangga harum manis,46.0,0.4,0.2,11.9,kaggle,0.008695651984877132,0.004347825992438566,0.25869564655009464,1.9999900000499997,0.5624878414387906,Mangga paling populer di Indonesia; warna kuning-oranye khas sangat mudah dikenali.
2027,dish,martabak telur,200.0,8.9,5.1,29.5,kaggle,0.0444999997775,0.025499999872499998,0.14749999926250001,1.7450976970396674,0.7535757994862393,Martabak telur jajanan pinggir jalan paling populer; kulit renyah berlapis isian telur khas.
2064,komponen,nanas,52.0,0.4,0.2,13.7,kaggle,0.007692307544378702,0.003846153772189351,0.2634615333949705,1.9999900000499997,0.5582273952315813,Nanas buah tropis ikonik; mahkota daun berduri dan daging kuning-putih sangat khas.
2072,dish,nasi goreng,276.0,3.2,3.2,30.2,kaggle,0.011594202856542744,0.011594202856542744,0.10942028945862214,0.9999996875000976,0.6522425666295668,Ikon kuliner Indonesia paling populer; tampilan khas coklat keemasan.
2146,komponen,pisang ambon,99.0,1.2,0.2,25.8,kaggle,0.012121211998775637,0.0020202019997959397,0.2606060579736762,5.9999700001499985,0.5647318281889055,Varietas pisang paling populer dikonsumsi langsung; kuning cerah dan melengkung sangat khas.
2150,dish,pisang goreng,220.0,2.3,2.3,6.3,kaggle,0.010454545407024793,0.010454545407024793,0.02863636350619835,0.9999995652175803,0.8270075153060434,Pisang goreng adalah gorengan paling umum; pisang dibalut adonan goreng keemasan.
2196,dish,risoles,335.0,5.3,3.5,70.5,kaggle,0.015820895475161505,0.010447761162842503,0.2104477605658276,1.5142852816327765,0.606954569738701,Risoles adalah camilan populer; kulit lumpia tipis berlapis tepung roti goreng khas.
2275,komponen,semangka,28.0,0.5,0.2,6.9,kaggle,0.017857142219387778,0.007142856887755111,0.24642856262755133,2.4999875000624994,0.5934042566727443,Semangka sangat populer; daging merah cerah dengan biji hitam dan kulit hijau sangat distinktif.
2289,dish,siomay,95.3,4.4,2.2,14.4,kaggle,0.046169989022350595,0.023084994511175298,0.15110178225496557,1.999999090909504,0.7471851588309264,"Siomay Bandung populer; berbagai bahan dikukus dengan saus kacang, tampilan beragam khas."
2367,komponen,telur ayam dadar,251.0,16.3,19.4,1.4,kaggle,0.06494023878509865,0.07729083634545483,0.005577689220806019,0.8402061422574154,0.7882156956602062,Telur dadar adalah lauk paling dasar; lembaran tipis keemasan sangat mudah dikenali.
2382,dish,tempe goreng,328.0,18.4,23.2,12.8,kaggle,0.0560975608045806,0.07073170710142772,0.039024390124925645,0.79310341409037,0.921875600732798,Lauk nabati paling ikonik Indonesia; tekstur tempe berlapis tepung sangat khas.
